Transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price_per_unit,total_amount,cost_per_unit,profit_per_unit,profit,Payment,customer_type,customer_satisfication
2101,4/24/2021,CUST2101,Female,51,Clothing,10,435,4350,392,43,430,credit card,New,1
2102,8/30/2022,CUST2102,Female,38,Food,3,391,1173,273,118,354,online,Returning,2
2103,7/15/2022,CUST2103,Female,29,Food,7,474,3318,330,144,1008,cash,Returning,5
2104,5/9/2021,CUST2104,Female,61,Food,1,352,352,213,139,139,credit card,Returning,2
2105,2/17/2021,CUST2105,Male,64,Electronics,4,81,324,47,34,136,cash,New,5
2106,9/3/2021,CUST2106,Female,37,Electronics,10,283,2830,153,130,1300,cash,New,5
2107,10/8/2022,CUST2107,Female,22,Beauty,8,154,1232,108,46,368,online,New,4
2108,3/8/2021,CUST2108,Female,66,Beauty,3,382,1146,316,66,198,cash,Returning,3
2109,3/14/2022,CUST2109,Male,66,Food,7,196,1372,120,76,532,credit card,Returning,1
2110,5/20/2022,CUST2110,Male,75,Clothing,9,158,1422,92,66,594,online,New,4
2111,12/29/2021,CUST2111,Male,75,Clothing,4,435,1740,339,96,384,online,Returning,1
2112,5/9/2021,CUST2112,Female,78,Clothing,5,391,1955,206,185,925,online,New,2
2113,7/6/2021,CUST2113,Male,69,Food,3,188,564,157,31,93,credit card,New,1
2114,9/9/2021,CUST2114,Female,41,Electronics,3,406,1218,260,146,438,credit card,Returning,4
2115,3/20/2021,CUST2115,Male,73,Beauty,6,275,1650,192,83,498,online,New,2
2116,9/15/2021,CUST2116,Female,66,Clothing,9,67,603,34,33,297,online,Returning,4
2117,10/9/2022,CUST2117,Male,73,Food,6,393,2358,243,150,900,online,Returning,4
2118,8/7/2021,CUST2118,Female,16,Beauty,10,81,810,53,28,280,credit card,New,5
2119,8/22/2022,CUST2119,Male,19,Beauty,10,275,2750,229,46,460,credit card,New,1
2120,5/15/2022,CUST2120,Male,59,Beauty,6,270,1620,220,50,300,online,Returning,2
2121,8/26/2021,CUST2121,Female,65,Beauty,6,466,2796,311,155,930,online,Returning,5
2122,9/2/2022,CUST2122,Male,22,Clothing,8,103,824,52,51,408,cash,New,3
2123,11/23/2021,CUST2123,Male,63,Clothing,2,141,282,108,33,66,cash,New,5
2124,7/19/2021,CUST2124,Male,17,Food,4,415,1660,262,153,612,cash,New,2
2125,7/12/2021,CUST2125,Female,61,Food,10,106,1060,61,45,450,online,Returning,4
2126,4/19/2022,CUST2126,Female,51,Beauty,1,365,365,248,117,117,credit card,New,2
2127,12/2/2021,CUST2127,Male,17,Electronics,3,406,1218,328,78,234,cash,New,3
2128,5/25/2022,CUST2128,Female,59,Clothing,6,497,2982,264,233,1398,online,Returning,4
2129,11/1/2021,CUST2129,Male,30,Beauty,10,325,3250,266,59,590,credit card,New,5
2130,11/16/2022,CUST2130,Male,25,Food,8,429,3432,241,188,1504,online,Returning,2
2131,10/10/2022,CUST2131,Female,41,Beauty,3,402,1206,301,101,303,credit card,Returning,3
2132,8/20/2022,CUST2132,Female,67,Clothing,8,360,2880,250,110,880,credit card,New,4
2133,6/3/2021,CUST2133,Male,36,Clothing,5,297,1485,225,72,360,credit card,Returning,3
2134,9/16/2021,CUST2134,Male,45,Food,6,395,2370,301,94,564,cash,Returning,5
2135,11/18/2022,CUST2135,Female,67,Beauty,8,106,848,90,16,128,credit card,New,5
2136,9/19/2022,CUST2136,Female,54,Beauty,6,141,846,79,62,372,cash,New,1
2137,11/5/2022,CUST2137,Female,68,Food,9,156,1404,78,78,702,credit card,Returning,4
2138,3/23/2021,CUST2138,Female,80,Food,4,143,572,91,52,208,cash,Returning,1
2139,6/15/2021,CUST2139,Female,77,Clothing,4,73,292,54,19,76,credit card,New,3
2140,8/28/2022,CUST2140,Female,47,Food,8,253,2024,198,55,440,cash,New,1
2141,2/1/2022,CUST2141,Female,75,Food,9,286,2574,196,90,810,online,Returning,5
2142,6/4/2021,CUST2142,Male,33,Clothing,6,455,2730,354,101,606,credit card,New,2
2143,11/15/2022,CUST2143,Male,72,Food,5,213,1065,172,41,205,online,Returning,1
2144,7/8/2021,CUST2144,Male,65,Electronics,3,283,849,191,92,276,online,Returning,2
2145,12/4/2021,CUST2145,Male,57,Beauty,9,184,1656,141,43,387,online,Returning,3
2146,1/7/2022,CUST2146,Female,43,Clothing,6,215,1290,136,79,474,online,New,2
2147,2/19/2021,CUST2147,Male,26,Clothing,10,499,4990,414,85,850,cash,Returning,4
2148,6/30/2022,CUST2148,Female,26,Beauty,6,396,2376,298,98,588,credit card,New,4
2149,3/13/2022,CUST2149,Female,30,Electronics,1,240,240,198,42,42,online,Returning,2
