Transaction_id,Date,customer_id,Gender,Age,product_category,Quantity,price _per _unit,total_amount,cost_per_unit,profit_per_unit,profit,payment,customer_type,customer_satisfication
1,11/24/2023,CUST001,Male,34,Clothing,7,89,623,56,33,231,credit card,Returning,4
2,2/27/2023,CUST002,Female,26,Food,5,462,2310,329,133,665,online,Returning,5
3,1/13/2023,CUST003,Male,50,Food,10,495,4950,257,238,2380,cash,New,1
4,5/21/2023,CUST004,Male,37,Electronics,8,292,2336,195,97,776,credit card,New,4
5,5/6/2023,CUST005,Male,30,Food,2,96,192,68,28,56,credit card,Returning,5
6,4/25/2023,CUST006,Female,45,Food,3,64,192,48,16,48,online,Returning,1
7,3/13/2023,CUST007,Male,46,Beauty,3,114,342,87,27,81,cash,Returning,1
8,2/22/2023,CUST008,Male,30,Clothing,10,65,650,48,17,170,cash,Returning,5
9,12/13/2023,CUST009,Male,63,Clothing,9,457,4113,331,126,1134,credit card,New,3
10,10/7/2023,CUST010,Female,52,Food,7,453,3171,306,147,1029,online,Returning,3
11,2/14/2023,CUST011,Male,23,Food,3,416,1248,267,149,447,cash,Returning,4
12,10/30/2023,CUST012,Male,35,Beauty,7,196,1372,170,26,182,credit card,New,3
13,8/5/2023,CUST013,Male,22,Clothing,6,55,330,37,18,108,credit card,Returning,1
14,1/17/2023,CUST014,Male,64,Beauty,5,162,810,95,67,335,online,Returning,3
15,1/16/2023,CUST015,Female,42,Electronics,8,229,1832,192,37,296,credit card,Returning,3
16,2/17/2023,CUST016,Male,19,Beauty,9,475,4275,303,172,1548,cash,New,3
17,4/22/2023,CUST017,Female,27,Clothing,3,156,468,108,48,144,cash,Returning,1
18,4/30/2023,CUST018,Female,47,Food,4,479,1916,240,239,956,cash,Returning,4
19,9/16/2023,CUST019,Female,62,Electronics,9,114,1026,102,12,108,cash,New,1
20,11/5/2023,CUST020,Male,22,Clothing,1,203,203,128,75,75,credit card,Returning,3
21,1/14/2023,CUST021,Female,50,Food,9,495,4455,275,220,1980,cash,Returning,4
22,10/15/2023,CUST022,Male,18,Food,3,406,1218,241,165,495,online,New,2
23,4/12/2023,CUST023,Female,35,Electronics,10,113,1130,99,14,140,online,New,3
24,11/29/2023,CUST024,Female,49,Clothing,10,36,360,30,6,60,credit card,Returning,4
25,12/26/2023,CUST025,Female,64,Electronics,10,104,1040,63,41,410,cash,Returning,2
26,10/7/2023,CUST026,Female,28,Beauty,9,58,522,29,29,261,credit card,Returning,1
27,8/3/2023,CUST027,Female,38,Food,4,249,996,216,33,132,online,New,2
28,4/23/2023,CUST028,Female,43,Electronics,3,132,396,75,57,171,credit card,New,2
29,8/18/2023,CUST029,Female,42,Electronics,5,355,1775,187,168,840,credit card,Returning,4
30,10/29/2023,CUST030,Female,39,Food,3,493,1479,404,89,267,online,Returning,5
31,5/23/2023,CUST031,Male,44,Clothing,7,180,1260,127,53,371,cash,New,1
32,1/4/2023,CUST032,Male,30,Beauty,10,325,3250,235,90,900,online,Returning,4
33,3/23/2023,CUST033,Female,50,Beauty,1,357,357,216,141,141,credit card,Returning,4
34,12/24/2023,CUST034,Female,51,Electronics,9,50,450,30,20,180,cash,Returning,3
35,8/5/2023,CUST035,Female,58,Beauty,10,282,2820,242,40,400,credit card,New,3
36,6/24/2023,CUST036,Male,52,Electronics,7,202,1414,169,33,231,online,Returning,4
37,5/23/2023,CUST037,Female,18,Clothing,8,482,3856,261,221,1768,credit card,New,1
38,3/21/2023,CUST038,Male,38,Beauty,9,163,1467,93,70,630,online,New,1
39,4/21/2023,CUST039,Male,23,Clothing,3,320,960,255,65,195,online,Returning,2
40,6/22/2023,CUST040,Male,45,Beauty,4,484,1936,283,201,804,cash,Returning,1
41,2/22/2023,CUST041,Male,34,Food,5,216,1080,192,24,120,credit card,New,2
42,2/17/2023,CUST042,Male,22,Clothing,2,194,388,144,50,100,credit card,Returning,3
43,7/14/2023,CUST043,Female,48,Electronics,10,468,4680,241,227,2270,online,Returning,3
44,2/19/2023,CUST044,Female,22,Beauty,4,453,1812,352,101,404,credit card,New,1
45,7/3/2023,CUST045,Female,55,Clothing,10,84,840,57,27,270,cash,Returning,4
46,6/26/2023,CUST046,Female,20,Beauty,5,201,1005,151,50,250,cash,New,5
47,11/6/2023,CUST047,Female,40,Beauty,6,449,2694,267,182,1092,online,Returning,1
48,5/16/2023,CUST048,Male,54,Electronics,8,330,2640,287,43,344,credit card,New,5
49,1/23/2023,CUST049,Female,54,Clothing,1,150,150,88,62,62,cash,New,4
50,8/24/2023,CUST050,Female,27,Clothing,9,175,1575,88,87,783,credit card,Returning,1
51,10/2/2023,CUST051,Male,27,Clothing,8,63,504,54,9,72,credit card,Returning,4
52,3/5/2023,CUST052,Female,36,Food,9,159,1431,83,76,684,cash,New,1
53,7/13/2023,CUST053,Male,34,Clothing,9,305,2745,171,134,1206,online,New,1
54,2/10/2023,CUST054,Female,38,Clothing,1,147,147,103,44,44,online,Returning,4
55,10/10/2023,CUST055,Male,31,Electronics,9,169,1521,133,36,324,credit card,Returning,1
56,5/31/2023,CUST056,Female,26,Beauty,8,402,3216,338,64,512,cash,Returning,3
57,11/18/2023,CUST057,Female,63,Electronics,8,285,2280,223,62,496,online,New,4
58,11/13/2023,CUST058,Male,18,Beauty,4,242,968,197,45,180,cash,New,1
59,7/5/2023,CUST059,Male,62,Food,1,203,203,173,30,30,cash,Returning,3
60,10/23/2023,CUST060,Male,30,Clothing,6,81,486,61,20,120,credit card,New,1
61,4/9/2023,CUST061,Male,21,Clothing,6,302,1812,209,93,558,credit card,Returning,3
62,12/27/2023,CUST062,Male,18,Electronics,2,435,870,251,184,368,credit card,Returning,2
63,2/5/2023,CUST063,Male,57,Clothing,10,488,4880,273,215,2150,cash,New,4
64,1/24/2023,CUST064,Male,49,Food,7,293,2051,246,47,329,cash,Returning,1
65,12/5/2023,CUST065,Male,51,Food,9,128,1152,74,54,486,online,Returning,1
66,4/27/2023,CUST066,Female,45,Electronics,4,251,1004,190,61,244,cash,New,1
67,5/29/2023,CUST067,Female,48,Electronics,7,228,1596,129,99,693,online,New,5
68,2/10/2023,CUST068,Male,25,Food,3,122,366,79,43,129,online,New,3
69,4/30/2023,CUST069,Female,56,Clothing,9,219,1971,158,61,549,credit card,New,3
70,2/21/2023,CUST070,Female,43,Electronics,5,136,680,122,14,70,cash,New,4
71,7/14/2023,CUST071,Female,51,Food,5,209,1045,178,31,155,cash,New,5
72,5/23/2023,CUST072,Female,20,Electronics,2,390,780,243,147,294,cash,Returning,1
73,8/21/2023,CUST073,Male,29,Clothing,7,185,1295,114,71,497,credit card,Returning,4
74,11/22/2023,CUST074,Female,18,Beauty,6,37,222,28,9,54,online,New,5
75,7/6/2023,CUST075,Male,61,Food,7,220,1540,176,44,308,credit card,Returning,1
76,3/25/2023,CUST076,Female,22,Food,1,494,494,401,93,93,cash,New,4
77,7/9/2023,CUST077,Female,47,Beauty,8,455,3640,349,106,848,cash,Returning,3
78,7/1/2023,CUST078,Female,47,Clothing,2,191,382,121,70,140,credit card,New,2
79,4/18/2023,CUST079,Male,34,Beauty,1,254,254,210,44,44,online,New,3
80,12/10/2023,CUST080,Female,64,Clothing,9,148,1332,111,37,333,online,New,4
81,5/17/2023,CUST081,Male,40,Electronics,6,489,2934,342,147,882,credit card,Returning,4
82,12/26/2023,CUST082,Female,32,Beauty,1,64,64,48,16,16,credit card,Returning,3
83,12/16/2023,CUST083,Male,54,Electronics,8,40,320,26,14,112,credit card,New,4
84,11/28/2023,CUST084,Female,38,Beauty,5,62,310,41,21,105,online,New,3
85,2/6/2023,CUST085,Male,31,Clothing,7,430,3010,219,211,1477,online,New,1
86,11/8/2023,CUST086,Male,19,Food,1,210,210,149,61,61,credit card,Returning,2
87,11/22/2023,CUST087,Female,28,Food,4,79,316,70,9,36,cash,New,2
88,3/29/2023,CUST088,Male,56,Clothing,3,50,150,29,21,63,online,New,5
89,10/1/2023,CUST089,Female,55,Beauty,9,248,2232,147,101,909,cash,New,2
90,5/6/2023,CUST090,Female,51,Clothing,3,127,381,75,52,156,credit card,New,4
91,3/25/2023,CUST091,Female,55,Food,1,450,450,393,57,57,online,New,5
92,8/25/2023,CUST092,Female,51,Beauty,4,64,256,51,13,52,credit card,New,1
93,7/14/2023,CUST093,Female,35,Clothing,3,462,1386,255,207,621,credit card,Returning,3
94,5/19/2023,CUST094,Female,47,Beauty,5,185,925,148,37,185,credit card,Returning,2
95,11/24/2023,CUST095,Female,32,Electronics,6,322,1932,255,67,402,credit card,New,1
96,12/19/2023,CUST096,Female,44,Clothing,4,233,932,147,86,344,cash,Returning,3
